State,District,Market,Commodity,Variety,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Ahmednagar,Kopargaon,"Bengal Gram(Gram)(Whole)",Other,17/06/2022,3501,4240,4100
Maharashtra,Ahmednagar,Kopargaon,Jowar(Sorghum),Other,17/06/2022,1500,2000,1717
Maharashtra,Ahmednagar,Kopargaon,Maize,Other,17/06/2022,2100,2320,2299
Maharashtra,Ahmednagar,Kopargaon,Onion,Other,17/06/2022,500,1351,925
Maharashtra,Ahmednagar,Kopargaon,Soyabean,Other,17/06/2022,5680,6621,6451
Maharashtra,Ahmednagar,Kopargaon,Wheat,Other,17/06/2022,1500,2291,2111
Maharashtra,Ahmednagar,Rahata,Beans,Other,17/06/2022,8000,8000,8000
Maharashtra,Ahmednagar,Rahata,"Bhindi(Ladies Finger)",Other,17/06/2022,3000,4000,3500
Maharashtra,Ahmednagar,Rahata,"Bitter gourd",Other,17/06/2022,2000,2500,2200
Maharashtra,Ahmednagar,Rahata,"Bottle gourd",Other,17/06/2022,800,1500,1100
Maharashtra,Ahmednagar,Rahata,Brinjal,Other,17/06/2022,1000,2000,1500
Maharashtra,Ahmednagar,Rahata,Cabbage,Other,17/06/2022,800,1500,1100
Maharashtra,Ahmednagar,Rahata,Carrot,Other,17/06/2022,2500,3000,2700
Maharashtra,Ahmednagar,Rahata,Cauliflower,Other,17/06/2022,1500,2500,2000
Maharashtra,Ahmednagar,Rahata,"Chilly Capsicum",Other,17/06/2022,3000,5000,4000
Maharashtra,Ahmednagar,Rahata,Coriander(Leaves),Other,17/06/2022,10,22,16
Maharashtra,Ahmednagar,Rahata,Cucumbar(Kheera),Other,17/06/2022,1000,1300,1150
Maharashtra,Ahmednagar,Rahata,Drumstick,Other,17/06/2022,4000,5500,4700
Maharashtra,Ahmednagar,Rahata,Garlic,Other,17/06/2022,1500,3000,2200
Maharashtra,Ahmednagar,Rahata,Ginger(Green),Other,17/06/2022,1000,2000,1500
Maharashtra,Ahmednagar,Rahata,"Green Chilli",Other,17/06/2022,4000,5000,4500
Maharashtra,Ahmednagar,Rahata,Guar,Other,17/06/2022,3000,5000,4000
Maharashtra,Ahmednagar,Rahata,Lime,Other,17/06/2022,3000,3500,3200
Maharashtra,Ahmednagar,Rahata,Methi(Leaves),Other,17/06/2022,15,20,17
Maharashtra,Ahmednagar,Rahata,Pomegranate,Other,17/06/2022,1000,17000,4500
Maharashtra,Ahmednagar,Rahata,Potato,Other,17/06/2022,2000,2300,2150
Maharashtra,Ahmednagar,Rahata,Ridgeguard(Tori),Other,17/06/2022,2500,3500,3000
Maharashtra,Ahmednagar,Rahata,Spinach,Other,17/06/2022,5,10,7
Maharashtra,Ahmednagar,Rahata,Tomato,Other,17/06/2022,2000,5300,3700
Maharashtra,Ahmednagar,Rahuri(Vambori),"Bengal Gram(Gram)(Whole)",Other,17/06/2022,4000,4000,4000
Maharashtra,Ahmednagar,Rahuri(Vambori),Jowar(Sorghum),Other,17/06/2022,5503,5503,5503
Maharashtra,Ahmednagar,Rahuri(Vambori),Soyabean,Other,17/06/2022,6000,6262,6100
Maharashtra,Ahmednagar,Rahuri(Vambori),Wheat,Other,17/06/2022,1600,2400,2000
Maharashtra,Ahmednagar,Sangamner,"Bajra(Pearl Millet/Cumbu)",Other,17/06/2022,2751,2751,2751
Maharashtra,Ahmednagar,Sangamner,"Bengal Gram(Gram)(Whole)",Other,17/06/2022,3590,4211,3900
Maharashtra,Ahmednagar,Sangamner,"Castor Seed",Other,17/06/2022,5600,5600,5600
Maharashtra,Ahmednagar,Sangamner,Groundnut,Other,17/06/2022,3600,4000,3800
Maharashtra,Ahmednagar,Sangamner,Jowar(Sorghum),Other,17/06/2022,1600,2451,2025
Maharashtra,Ahmednagar,Sangamner,Maize,Other,17/06/2022,2101,2101,2101
Maharashtra,Ahmednagar,Sangamner,Onion,"1st Sort",17/06/2022,1400,1700,1550
Maharashtra,Ahmednagar,Sangamner,Onion,"2nd Sort",17/06/2022,1000,1400,1200
Maharashtra,Ahmednagar,Sangamner,Onion,Other,17/06/2022,500,1000,750
